"","Season","Team","W","L","W.L.","Pace","ORtg","DRtg","Playoffs"
"2","2018-19","San Antonio Spurs",48,34,0.585,98.3,112.9,111.2,"Lost W. Conf. 1st Rnd."
"3","2017-18","San Antonio Spurs",47,35,0.573,95,107.9,104.8,"Lost W. Conf. 1st Rnd."
"4","2016-17","San Antonio Spurs",61,21,0.744,94.2,111.1,103.5,"Lost W. Conf. Finals"
"5","2015-16","San Antonio Spurs",67,15,0.817,93.8,110.3,99,"Lost W. Conf. Semis"
"6","2014-15","San Antonio Spurs",55,27,0.671,93.8,108.5,102,"Lost W. Conf. 1st Rnd."
"7","2013-14","San Antonio Spurs",62,20,0.756,95,110.5,102.4,"Won Finals"
"8","2012-13","San Antonio Spurs",58,24,0.707,94.2,108.3,101.6,"Lost Finals"
"9","2011-12","San Antonio Spurs",50,16,0.758,92.9,110.9,103.2,"Lost W. Conf. Finals"
"10","2010-11","San Antonio Spurs",61,21,0.744,92.3,111.8,105.6,"Lost W. Conf. 1st Rnd."
"11","2009-10","San Antonio Spurs",50,32,0.61,91.7,110,104.5,"Lost W. Conf. Semis"
"12","2008-09","San Antonio Spurs",54,28,0.659,88.4,108.5,104.3,"Lost W. Conf. 1st Rnd."
"13","2007-08","San Antonio Spurs",56,26,0.683,88.8,107.2,101.8,"Lost W. Conf. Finals"
"14","2006-07","San Antonio Spurs",58,24,0.707,89.8,109.2,99.9,"Won Finals"
"15","2005-06","San Antonio Spurs",63,19,0.768,88.5,107.3,99.6,"Lost W. Conf. Semis"
"16","2004-05","San Antonio Spurs",59,23,0.72,88.9,107.5,98.8,"Won Finals"
"17","2003-04","San Antonio Spurs",57,25,0.695,89.2,102.2,94.1,"Lost W. Conf. Semis"
"18","2002-03","San Antonio Spurs",60,22,0.732,90,105.6,99.7,"Won Finals"
"19","2001-02","San Antonio Spurs",58,24,0.707,90,106.5,99.7,"Lost W. Conf. Semis"
"20","2000-01","San Antonio Spurs",58,24,0.707,89.6,106.6,98,"Lost W. Conf. Finals"
"55","2018-19","Dallas Mavericks",33,49,0.402,99,109.4,110.7,""
"56","2017-18","Dallas Mavericks",24,58,0.293,95.6,106.3,109.5,""
"57","2016-17","Dallas Mavericks",33,49,0.402,92.2,105.6,108.8,""
"58","2015-16","Dallas Mavericks",42,40,0.512,94.3,106.7,107,"Lost W. Conf. 1st Rnd."
"59","2014-15","Dallas Mavericks",50,32,0.61,95.2,109.5,106.4,"Lost W. Conf. 1st Rnd."
"60","2013-14","Dallas Mavericks",49,33,0.598,93.5,111.2,108.7,"Lost W. Conf. 1st Rnd."
"61","2012-13","Dallas Mavericks",41,41,0.5,94.1,105.9,106.5,""
"62","2011-12","Dallas Mavericks",36,30,0.545,91.4,103.3,102.3,"Lost W. Conf. 1st Rnd."
"63","2010-11","Dallas Mavericks",57,25,0.695,91.3,109.7,105,"Won Finals"
"64","2009-10","Dallas Mavericks",55,27,0.671,92.5,109.2,106.3,"Lost W. Conf. 1st Rnd."
"65","2008-09","Dallas Mavericks",50,32,0.61,91.5,110.5,108.4,"Lost W. Conf. Semis"
"66","2007-08","Dallas Mavericks",51,31,0.622,90.2,111.1,106.1,"Lost W. Conf. 1st Rnd."
"67","2006-07","Dallas Mavericks",67,15,0.817,89.5,111.3,103.2,"Lost W. Conf. 1st Rnd."
"68","2005-06","Dallas Mavericks",60,22,0.732,87.8,111.8,105,"Lost Finals"
"69","2004-05","Dallas Mavericks",58,24,0.707,92.7,110.3,104.1,"Lost W. Conf. Semis"
"70","2003-04","Dallas Mavericks",52,30,0.634,93.2,112.1,107.4,"Lost W. Conf. 1st Rnd."
"71","2002-03","Dallas Mavericks",60,22,0.732,92.5,110.7,102.3,"Lost W. Conf. Finals"
"72","2001-02","Dallas Mavericks",57,25,0.695,92.8,112.2,107.7,"Lost W. Conf. Semis"
"73","2000-01","Dallas Mavericks",53,29,0.646,93.2,107.1,102.6,"Lost W. Conf. Semis"
"95","2018-19","Houston Rockets",53,29,0.646,97.9,115.5,110.7,"Lost W. Conf. Semis"
"96","2017-18","Houston Rockets",65,17,0.793,97.6,114.7,106.1,"Lost W. Conf. Finals"
"97","2016-17","Houston Rockets",55,27,0.671,100,114.7,109,"Lost W. Conf. Semis"
"98","2015-16","Houston Rockets",41,41,0.5,97.6,108.3,108.1,"Lost W. Conf. 1st Rnd."
"99","2014-15","Houston Rockets",56,26,0.683,96.5,107,103.4,"Lost W. Conf. Finals"
"100","2013-14","Houston Rockets",54,28,0.659,96.3,111,106.3,"Lost W. Conf. 1st Rnd."
"101","2012-13","Houston Rockets",45,37,0.549,96.1,109.7,106.1,"Lost W. Conf. 1st Rnd."
"102","2011-12","Houston Rockets",34,32,0.515,91.7,105.5,105.2,""
"103","2010-11","Houston Rockets",43,39,0.524,94.2,111.3,109,""
"104","2009-10","Houston Rockets",42,40,0.512,94,107.6,108,""
"105","2008-09","Houston Rockets",53,29,0.646,90.2,108.4,104,"Lost W. Conf. Semis"
"106","2007-08","Houston Rockets",55,27,0.671,90.4,106.8,101.6,"Lost W. Conf. 1st Rnd."
"107","2006-07","Houston Rockets",52,30,0.634,90.7,106,100.7,"Lost W. Conf. 1st Rnd."
"108","2005-06","Houston Rockets",34,48,0.415,88,101.6,103.3,""
"109","2004-05","Houston Rockets",51,31,0.622,88.8,106.2,101.7,"Lost W. Conf. 1st Rnd."
"110","2003-04","Houston Rockets",45,37,0.549,87.8,100.9,99,"Lost W. Conf. 1st Rnd."
"111","2002-03","Houston Rockets",43,39,0.524,88.8,104.3,102.6,""
"112","2001-02","Houston Rockets",28,54,0.341,88.2,103.1,108.6,""
"113","2000-01","Houston Rockets",45,37,0.549,90.4,106.7,104.2,""
